Benchmark,Queue_Type,Threads,Payload_Size,Queue_Depth,Sample_Count,Mean_Latency_us,Min_Latency_us,Max_Latency_us,Std_Dev_us,Jitter,Memory_Overhead_bytes,Contention_Rate,P50_us,P90_us,P95_us,P99_us,P99_9_us,P99_99_us,Throughput_ops_per_sec
Single-threaded baseline,Lock,1,88,0,100000,0.289237,0.199,124.798,0.879171,3.03962,8800120,0,0.3,0.3,0.3,0.4,1.799,23.7,2.84859e+06
Single-threaded baseline,EBR,1,88,0,100000,0.511429,0.199,2574.76,9.49148,18.5587,8801152,0,0.3,0.4,0.5,3.1,18.8,88.799,1.72421e+06
Single-threaded baseline,HP,1,88,0,100000,2.06992,0.2,1508.88,38.9181,18.8017,8800256,0,0.3,0.4,0.5,0.7,820.387,1196.58,466715
Multi-producer (2P),Lock,3,88,0,100000,24060.2,181.797,40693.6,10078.2,0.418873,8800120,0.0394803,25275.8,36726.8,39353.9,40355.4,40650.8,40660.8,603406
Multi-producer (2P),EBR,3,88,0,100000,9213.51,28.799,14499.4,4100.29,0.44503,8801152,0,9645.75,14187.6,14277.2,14371.3,14486.2,14493.9,747462
Multi-producer (2P),HP,3,88,0,100000,82972,65.599,158473,44327.6,0.534247,8800256,0,84127.8,143647,151163,156885,158417,158468,502068
Multi-producer (4P),Lock,5,88,0,100000,36227,56.6,58117.2,14344.6,0.395964,8800120,0.0683599,35900.7,55735.4,57529.2,57774.3,57861,57939,571644
Multi-producer (4P),EBR,5,88,0,100000,14131.1,71.599,23175.7,6776.98,0.479581,8801152,0,15264.1,22173.8,22788.2,23079.5,23156,23171.2,599405
Multi-producer (4P),HP,5,88,0,100000,88220.5,129.798,169848,48582.9,0.550699,8800256,0,90025.6,154072,161940,168244,169836,169848,532954
Multi-producer (8P),Lock,9,88,0,100000,45456.5,3396.25,72333.9,16783.2,0.369214,8800120,0.121102,45298.6,68698.2,70426.9,71900.2,72207.8,72237.3,540864
Multi-producer (8P),EBR,9,88,0,100000,15477.8,160.498,23996.9,6592.26,0.425917,8801152,0,16710.6,23085.8,23600.2,23884.9,23966.7,23981.7,609150
Multi-producer (8P),HP,9,88,0,100000,81665.1,155.497,148757,38970.2,0.477196,8800256,0,83484.3,133140,140997,147227,148749,148756,495698
Queue depth 0,Lock,1,88,0,10000,0.306185,0.199,57.599,0.766825,2.50445,880120,0,0.3,0.3,0.4,0.4,3.5,36.899,2.84718e+06
Queue depth 0,EBR,1,88,0,10000,0.396044,0.2,60.999,0.951615,2.4028,881152,0,0.3,0.4,0.5,2.8,11.4,41.899,2.26761e+06
Queue depth 0,HP,1,88,0,10000,1.81833,0.199,893.386,34.2175,18.8181,880256,0,0.3,0.4,0.4,0.5,754.489,868.386,536777
Queue depth 10,Lock,1,88,10,10000,0.304705,0.199,22.399,0.451927,1.48316,880120,0,0.3,0.3,0.4,0.4,1.2,19.5,2.85523e+06
Queue depth 10,EBR,1,88,10,10000,0.437984,0.199,48,1.02916,2.34978,881152,0,0.3,0.4,0.5,2.9,17.3,32.4,2.07934e+06
Queue depth 10,HP,1,88,10,10000,1.86057,0.199,965.685,34.6812,18.6401,880256,0,0.3,0.4,0.4,0.5,749.089,892.986,522370
Queue depth 100,Lock,1,88,100,10000,0.319135,0.199,48.7,0.780668,2.4462,880120,0,0.3,0.3,0.4,0.5,14.2,24.7,2.75767e+06
Queue depth 100,EBR,1,88,100,10000,0.448753,0.2,35.1,0.921404,2.05325,881152,0,0.3,0.4,0.4,3.1,16,21.799,2.03487e+06
Queue depth 100,HP,1,88,100,10000,1.78776,0.199,834.687,33.6252,18.8086,880256,0,0.3,0.4,0.4,0.5,771.688,825.987,542205
Queue depth 1000,Lock,1,88,1000,10000,0.307185,0.199,36.799,0.608002,1.97927,880120,0,0.3,0.3,0.4,0.5,3.5,25.999,2.80281e+06
Queue depth 1000,EBR,1,88,1000,10000,0.953315,0.299,5440.52,54.4147,57.0794,881152,0,0.3,0.4,0.5,2.9,9.699,78.999,999666
Queue depth 1000,HP,1,88,1000,10000,1.97701,0.2,888.486,36.3788,18.4009,880256,0,0.3,0.4,0.4,0.5,798.588,851.587,492206
P1:C1,Lock,2,88,0,5000,1055.97,18.7,1737.57,389.292,0.368657,440120,0.000126108,995.085,1625.47,1702.97,1729.37,1737.27,1737.37,48652.4
P1:C1,EBR,2,88,0,5000,87.7404,0.3,293.696,78.1274,0.890439,441152,0,113.598,194.197,199.997,207.296,293.096,293.596,48775
P1:C1,HP,2,88,0,5000,3510.77,3.3,7111.29,2157.74,0.614607,440256,0,3203.25,6300.5,7046.89,7107.29,7110.99,7111.29,49189
P2:C1,Lock,3,88,0,10000,956.186,1.4,1482.88,383.571,0.401147,880120,0.000646559,1048.28,1378.58,1396.78,1468.38,1477.68,1479.18,95136.6
P2:C1,EBR,3,88,0,10000,259.917,0.3,600.99,179.745,0.691548,881152,0,265.796,482.793,515.492,593.191,600.09,600.89,94345.3
P2:C1,HP,3,88,0,10000,7993.15,3.8,16122.6,4782.02,0.598265,880256,0,7684.08,14539,15348.7,16065.4,16122.2,16122.5,97846.4
P4:C1,Lock,5,88,0,20000,6339.35,36.899,9399.56,2131.55,0.336241,1760120,0.00148788,6536.6,8947.86,9144.26,9288.86,9351.25,9378.95,175818
P4:C1,EBR,5,88,0,20000,981.846,0.4,1848.77,519.166,0.528765,1761152,0,1115.18,1699.47,1799.17,1838.67,1844.67,1845.97,189592
P4:C1,HP,5,88,0,20000,17376.3,2.5,34205.6,9701.52,0.55832,1760256,0,17004.5,30902.3,32588.6,33395.6,34192.8,34205.5,185068
P1:C2,Lock,3,88,0,5000,248.752,0.9,614.89,177.774,0.714663,440120,0.015853,194.397,448.893,464.393,601.991,610.39,612.49,47767.3
P1:C2,EBR,3,88,0,5000,44.3991,0.6,155.697,45.638,1.02791,441152,0,35.4,111.699,131.498,149.398,155.197,155.597,47832.6
P1:C2,HP,3,88,0,5000,2042.05,1.9,4356.13,1110.15,0.543645,440256,0,2146.97,3555.45,3573.04,3592.64,3596.74,3713.54,48834.3
P1:C4,Lock,5,88,0,5000,1193.06,1.6,1667.07,360.071,0.301805,440120,0.180351,1316.48,1517.18,1577.38,1635.88,1646.37,1646.87,48810
P1:C4,EBR,5,88,0,5000,178.312,0.7,413.894,134.27,0.753009,441152,0,231.996,330.095,373.694,405.194,412.493,413.293,48044.9
P1:C4,HP,5,88,0,5000,1052.9,0.8,2294.36,435.691,0.413801,440256,0,1211.68,1527.98,1712.87,1743.97,1761.07,2156.67,48933.1
P4:C4,Lock,8,88,0,20000,1351.68,0.5,2908.26,788.899,0.583645,1760120,0.230242,1153.18,2656.66,2704.66,2794.86,2868.26,2873.86,168407
P4:C4,EBR,8,88,0,20000,1384.23,0.8,2144.97,589.167,0.425628,1761152,0,1630.97,2058.57,2063.87,2082.47,2090.37,2100.07,188546
P4:C4,HP,8,88,0,20000,4420.75,1.2,8606.97,2290.3,0.51808,1760256,0,4452.03,7277.09,7666.08,7774.28,8152.67,8510.37,189148
Throughput (2 threads),Lock,2,88,0,14001300,0,0,0,0,0,208,0.18077,0,0,0,0,0,0,4.66579e+06
Throughput (2 threads),EBR,2,88,0,10741321,0,0,0,0,0,1240,0,0,0,0,0,0,0,3.27185e+06
Throughput (2 threads),HP,2,88,0,9273322,0,0,0,0,0,344,0,0,0,0,0,0,0,3.09035e+06
Throughput (4 threads),Lock,4,88,0,8096960,0,0,0,0,0,208,0.145084,0,0,0,0,0,0,2.65096e+06
Throughput (4 threads),EBR,4,88,0,10763670,0,0,0,0,0,1240,0,0,0,0,0,0,0,3.10849e+06
Throughput (4 threads),HP,4,88,0,10538600,0,0,0,0,0,344,0,0,0,0,0,0,0,3.4757e+06
Throughput (8 threads),Lock,8,88,0,4552625,0,0,0,0,0,208,0.221674,0,0,0,0,0,0,1.51706e+06
Throughput (8 threads),EBR,8,88,0,8769924,0,0,0,0,0,1240,0,0,0,0,0,0,0,2.61461e+06
Throughput (8 threads),HP,8,88,0,9223537,0,0,0,0,0,344,0,0,0,0,0,0,0,2.99908e+06
Throughput (16 threads),Lock,16,88,0,3524916,0,0,0,0,0,208,0.347985,0,0,0,0,0,0,1.15553e+06
Throughput (16 threads),EBR,16,88,0,7297761,0,0,0,0,0,1240,0,0,0,0,0,0,0,2.27796e+06
Throughput (16 threads),HP,16,88,0,7640945,0,0,0,0,0,344,0,0,0,0,0,0,0,2.52566e+06
